word,meaning
tepat,betul
terjerat,tertipu
palsu,tiruan
penderitaan,penanggungan
mengerunkan,menakutkan
pengajaran,pedoman
kelayakan,kecekapan
menyasarkan,menghalakan
modus,cara
jatuh hati,menaruh cinta
berleluasa,berbuat sesuka hati
transaksi,urusan jual beli
panik,cemas
komersial,perdagangan
ironinya,sebaliknya
ragu-ragu,sangsi
didalangi,dipimpin
memberontak,melawan
kecenderungan,kesukaan
ramalan,telahan
penyelarasan,penyesuaian
global,sejagat
keengganan,ketidaksudian
tragik,menyedihkan
amaran,peringatan
