word,meaning,regular_word
寻,古代八尺为一寻,室广八尺，深可四'寻'
朝,早晨,涂泥半'朝'
蒸,蒸发,'蒸'沤厉澜
沤,浸泡,蒸'沤'厉澜
历澜,犹糜烂,蒸沤'厉澜'
薪爨,烧柴做饭,檐阴'薪爨'
薪,木柴,檐阴'薪'爨
爨,烧火煮饭,檐阴薪'爨'
杂遝,众多，纷乱的样子,骈肩'杂遝'
圊溷,厕所,或'圊溷'
厉,灾疫,当之者鲜不为'厉'
杂然,纷繁、多样,'杂然'赋流形
流形,各种不同的形体,杂然赋'流形'
浩然,浩然之气，正大刚毅的意志,于人曰'浩然'
沛乎,旺盛的样子。,'沛乎'塞苍冥。
苍冥,天空，这里指天地之间,沛乎塞'苍冥'。
皇路,国运，国家的局势,'皇路'当清夷，
清夷,清平、太平,皇路当'清夷'
吐,表现,含和'吐'明庭
明庭,圣明的朝廷,含和吐'明庭'
见,同“现”，表现，显露,时穷节乃'见'
垂,留存、流传,一一'垂'丹青。
丹青,史籍,一一垂'丹青'。
太史,史官,在齐'太史'简，
简,史册,在齐太史'简'
厉'冰雪,同“砺”，磨砺,清操'厉'冰雪
逆竖,叛逆、反贼,'逆竖'头破裂。
旁礴,充塞、充满,是气所'磅礴'
凛烈,庄严、令人敬畏的样子,'凛烈'万古存
地维,指地的四角,'地维'赖以立
天柱,指支撑天地的柱子,'天柱'赖以尊
三纲,中国古代封建社会中，人与人之间的三种道德准则。君为臣纲 、父为子纲 、夫为妻纲，合称三纲,'三纲'实系命
隶,指部下或地位低的官吏，此为作者谦称,'隶'也实不力。
传车,驿站的车辆,'传车'送穷北。
穷北,极远的北方，指元人统治之地,传车送'穷北'。
鼎镬,大锅,'鼎镬'甘如饴
阴房,牢狱、囚室,'阴房'阒鬼火
阒,寂静,阴房'阒'鬼火
閟,紧闭,春院'閟'天黑。
皂,马槽,牛骥同一'皂'
鸡栖,鸡窝,'鸡栖'凤凰食
雾露,指阴阳不和调之气,一朝蒙'雾露'
分,料，估量,'分'作沟中瘠。
瘠,通“胔”，腐烂的肉,分作沟中'瘠'。
百沴,各种邪恶之气,百沴'自辟易。
沴,阴阳之气不协调而相互伤害,百'沴'自辟易。
辟易,退避,百沴自'辟易'。
缪巧,窍门，机巧,岂有他'缪巧'
阴阳,指气候的寒热,'阴阳'不能贼。
贼,残害,阴阳不能'贼'。
顾,只是,'顾'此耿耿在
此,这，指正气,顾'此'耿耿在
耿耿,忠直的样子,顾此'耿耿'在
哲人,贤明杰出的人物，指上面列举的古人,'哲人'日已远
夙昔,从前，过去,典型在'夙昔'。
古道,古代传统的美德,'古道'照颜色。
颜色,脸色,古道照'颜色'。
