word,meaning
奇服,不与众同
铗,剑
陆离,剑长而下垂的样子
'冠'切云之崔嵬,戴
冠切云之'崔嵬',高耸的样子
'被'明月兮佩宝璐,披
被明月兮'珮'宝璐,佩
被明月兮珮宝'璐',美玉
高驰,远远地离开
驾青'虬'兮骖白螭,传说中有角的龙
驾青虬兮'骖'白螭,拉车的马
驾青虬兮骖白'螭',传说中无角的龙
'瑶'之圃,美玉
瑶之'圃',园
比寿,一样长寿
济,渡
'乘'鄂渚,登岸
'欸'秋冬之绪风,叹息
欸秋冬之'绪风',秋冬时节残留下来的寒风
欸秋冬之'绪'风,残余
'步'余马兮三皋,行走
邸,停留
方林,林子旁
'方'林,旁
乘'舲船'余上沅,有窗的小船
乘舲船余'上'沅,逆流而上
'齐'吴榜以击汰,一齐摇
齐吴榜以击'汰',水波
容与,徘徊不前的样子
'淹'回水而凝滞,停留
淹'回水'而凝滞,回旋的水流
淹回水而'凝滞',停留不动
虽僻远其何'伤',妨碍
入溆浦余'澶徊',心情的无所着落
'杳'以冥冥,深远的样子
杳以'冥冥',昏暗
承宇,连接屋檐
'承'宇,弥漫
终穷,终身困厄
不必'用',任用
菹醢,把人剁成肉酱
与,全部
董道,正道
重昏,犹言处于层层黑暗之中
'重'昏,一再
'巢'堂坛,筑巢
死'林簿',草木杂生的地方
'腥臊'并御,谗佞小人
腥臊并'御',进用
'芳'不得薄,忠臣贤士
芳不得'薄',近
时不'当'兮,适当
怀信'侘傺',失意的样子
忽乎,飘然而去
'忽'乎,飘忽
