word,meaning,regular_word
军,军队驻扎。,沛公'军'霸上，
王,称王，成就王业。,沛公欲'王'关中，
关中,在关中称王,沛公欲王'关中'，
飨,用酒食款待宾客，这里是犒劳的意思。,旦日'飨'士卒，
为,介词，替、给。,'为'击破沛公军！
美姬,美女。,贪于财货，好'美姬'。
姬,古代妇女的美称，泛指美女。,贪于财货，好美'姬'。
幸,封建君主对妇妾的宠爱叫“幸”。,妇女无所'幸'，
幸,幸亏、幸而,故'幸'来告良
季父,叔父。,楚左尹项伯者，项羽'季父'也。
善,友好，交好,素'善'留侯张良
此计,指下文“距关，毋内诸侯”的计策。,谁为大王为'此计'者？
鲰生,浅陋无知的小人。,'鲰生'说我曰：
鲰,浅陋、卑微。,'鲰'生说我曰：
距,通“拒”，把守的意思。,'距'关，
内,通“纳”，接纳。,毋'内'诸侯，
诸侯,指其他率兵攻秦的军队将领。,毋内'诸侯'，
当,抵挡、抵御。,料大王士卒足以'当'项王乎？
有故,有旧交情。,君安与项伯'有故'？
卮,酒器,奉'卮'酒为寿
籍,登记。,'籍'吏民，
非常,意外的变故。,备他盗之出入与'非常'也。
倍德,通“背”，背叛。,愿伯具言臣之不敢'倍德'也。
倍,通“背”，违背。,愿伯具言臣之不敢'倍'德也。
蚤,通“早”。,旦日不可不'蚤'自来谢项王。
谢,谢罪、道歉。,旦日不可不蚤自来'谢'项王。
戮力,合力。,臣与将军'戮力'而攻秦，
河,黄河,将军战'河'北，
郤,通“隙”，隔阂、嫌怨。,今者有小人之言，令将军与臣有'郤'。
亚,次。,'亚'父南向坐
侍,陪坐之意。,张良西向'侍'
玉玦,半环形的佩玉。,举所佩'玉玦'以示之者三，
项庄,项羽的堂弟。,范增起，出召'项庄'，
若属,你们这些人。,若属'皆且为所虏。
属,辈。,若'属'皆且为所虏。
翼蔽,像鸟张开翅膀掩护。,常以身'翼蔽'沛公，
翼,羽翼,常以身'翼'蔽沛公，
蔽,遮挡。,常以身翼'蔽'沛公，
之,指项庄。,臣请入，与'之'同命！
戟,一种长柄的兵器。,交'戟'之卫士
披帷,揭开帷幕。,哙遂入，'披帷'西向立，
瞋目,瞪眼。,'瞋目'视项王，
跽,长跪，挺直上身，两膝着地。,项王按剑而'跽'曰：
参乘,亦作“骖乘”，古时乘车，站在车右担任侍卫的人。,沛公之'参乘'樊哙者也。
乘,四匹马拉的车,沛公之参'乘'樊哙者也。
斗卮,大酒杯。,则与'斗卮'酒。
彘肩,猪的前腿。,则与一生'彘肩'。
彘,猪。,则与一生'彘'肩。
啖,吃。,拔剑切而'啖'之。
举、胜,尽,杀人如不能'举'，刑人如恐不'胜'
刑,处罚，用作动词。,刑'人如恐不胜
细说,小人的谗言。,而听'细说'，
窃,用作表示个人意见的谦词。,'窃'为大王不取也。
大行,指干大事。,'大行'不顾细谨，
谨,礼节。,大行不顾细'谨'，
大礼,指把握大节。,'大礼'不辞小让。
辞,推辞，这里有避开、回避的意思。,大礼不'辞'小让。
让,责备。,大礼不辞小'让'。
辞,告辞、辞别。,何'辞'为？
操,拿，这里是携带。,良问曰：“大王来何'操'？”
谨,表恭敬语气的副词。,曰：'谨诺'。
置,放弃，这里有“丢下”之意。,沛公则'置'车骑，
道,取道。,'道'芷阳间行。
间,抄小路。,道芷阳'间'行。
不胜,经不起。,沛公'不胜'桮杓，
桮杓,酒器。,沛公不胜'桮杓'，
桮：同“杯”。,沛公不胜'桮'杓，
督过,责备。,闻大王有意'督过'之，
