word,meaning,regular_word
辚辚,车子行走的声音,车'辚辚'，
萧萧,马嘶叫声,马'萧萧'，
行人,指被征出发的士兵,'行人'弓箭各在腰。
妻子,妻子和子女,爷娘'妻子'走相送，
走,奔跑,爷娘妻子'走'相送，
干,冲,哭声直上'干'云霄。
过者,过路的人，这里是杜甫自称,道旁'过者'问行人，
点行,按名册顺序抽丁入伍,行人但云'点行'频。
里正,即里长,去时'里正'与裹头，
裹头,男子成丁，就裹头巾，犹古之加冠,去时里正与'裹头'，
戍边,防守边疆,归来头白还'戍'边。
边庭,边疆，这里指西部边地,'边庭'流血成海水，
开边,用武力开拓边疆,武皇'开边'意未已。
荆杞,荆棘与杞柳，都是野生灌木,千村万落生'荆杞'。
陇亩,田地,禾生'陇亩'无东西。
陇,"通'垄'，在耕地上培成一行的土埂，中间种植农作物",禾生'陇’亩无东西。
况复,何况,'况复'秦兵耐苦战，
秦兵,指关中一带的士兵,况复'秦兵'耐苦战，
长者,年纪大、辈分高的人，这里是征人对杜甫的尊称,'长者'虽有问，
役夫,行役的人,'役夫'敢申恨？
敢,岂敢，怎么敢,役夫'敢'申恨？
啾啾,形容凄厉的哭声,天阴雨湿声'啾啾'。
