word,meaning,regular_word
略,侵略、夺取。通“掠”。,进兵北'略'地，
荆卿,古代对人的敬称。,'荆卿'为燕太子丹刺秦王，
旦暮,早晚，极言时间短暂,秦兵'旦暮'渡易水，
谒,请求。,臣愿得'谒'之。
信,信物、凭证。,今行而无'信'，
秦王购之金千斤，邑万家,重金收买，悬赏以求。,秦王'购'之金千斤，
邑,封地。,'邑'万家。
更（gèng）,再。,愿足下'更'虑之！
深,程度深，这里是刻薄狠毒的意思。,可谓'深'矣。
戮没（mò）,杀戮和没收。主要的人杀掉，其他人等没收入官为奴婢。,皆为'戮没'。
顾,不过、只是。,'顾'计不知所出耳！
善,好好地。,秦王必喜而'善'见臣。
把,握，抓住。,臣左手'把'其袖，
揕（zhèn）,用剑刺。,而右手'揕'其胸，
见,被。,秦王必说'见'臣，
陵,侵犯、欺侮。,而燕国见'陵'之耻除矣。
偏袒,袒露一只臂膀。,樊於期'偏袒'扼腕而进曰：
拊（fǔ）心,捶胸，这里形容非常痛心。,此臣之日夜切齿'拊心'也，
淬（cuì）,把烧红了的铁器浸入水或其他液体中，急剧冷却，使之硬化。,以药'淬'之，
濡（rú）缕,沾湿衣缕。,泣下'濡缕'。
濡（rú）,沾湿。,血'濡'缕，
忤（wǔ）视,正视，迎着目光看。,人不敢与'忤视'。
为副,做助手。,乃令秦武阳'为副'。
迟之,嫌荆轲动身迟了。,燕丹怪其'迟之'，
迟之,意动用法，“认为......迟了”。,燕丹怪其'迟之'，
请,表示客气，无义。,乃'请'荆卿曰：
辞决,诀别。,请'辞决'矣！
决,通“诀”。,请辞'决'矣！
祖,临行祭路神，引申为践行、送别。,既'祖'，取道。
变徵（zhǐ）,徵音的变调，声调悲凉。,为'变徵'之声，
羽声,羽调。羽调悲壮，比变徵音高，能表现激愤或高昂的情绪。,慷慨'羽声'，
币,礼品。,持千金之资'币'物，
振怖,害怕。,燕王诚'振怖'大王之威，
振,通“震”，震动。,燕王诚'振'怖大王之威，
比,并列。,'比'诸侯之列，
给,供。,'给'贡职如郡县，
使使,派遣使者。前一个“使”是动词，后一个“使”是名词。,'使使'以闻大王。
唯,句首语气词，表“希望”的语气。,'唯'大王命之。
宾,同“儐”，引宾客。,乃朝服，设九'宾'，
次,按顺序排列。,以'次'进。
陛（bì）,殿前的台阶。,至'陛'下，
假借,宽容、原谅。,愿大王少'假借'之，
使毕使于前,前一个“使”是动词，让。后一个“使”是名词，使命。,'使毕使于前'，
发,打开。,顷之未'发'，
引,拉。,自'引'而起，
绝,断。,'绝'袖。
操,拿着。,'操'其室。
室,指剑鞘。,操其'室'。
剑坚,剑插得紧。,'剑坚'，
坚,牢固。,剑'坚'，
还（huán）,古同“环”，环绕。,秦王方'还'柱走，
尺兵,尺寸之兵，指各种兵器。,不得持'尺兵'；
提（dī）,掷击。,今'提'一匕首入不测之强秦，
负剑,背剑，即把剑推到背上，以便拔出。,王'负剑'！
废,坠，跌下。,荆轲'废'，
被,遭受。,'被'八创。
创（chuāng）,伤。,被八'创'。
箕踞（jù）,坐时两脚张开，两膝微曲，形如箕簸，是一种傲慢无礼的姿态。,'箕踞'以骂曰：
劫,强迫、威逼。,乃欲以生'劫'之，
