word,meaning
gejala,petanda
junior,murid menengah rendah
kepuasan,kelegaan
dibanteras,dihapuskan / dibasmi
keganasan,kegarangan / kebuasan
harga diri,maruah
keyakinan,kepastian
digertak,diancam
logik,munasabah
seiring,bersama-sama
sewajarnya,semenangnya
impak,dampak / kesan yang ketara
kemerosotan,kejatuhan
sekatan,rintangan
kelalaian,kecuaian
peranti,alat
diperkasakan,diperkuat
peradaban,tamadun
memerangi,melawan
ditapis,disaring
holistik,secara menyeluruh
menyayat hati,menghiris
beretika,bermoral
minda,daya berfikir
berobjektif,bertujuan
