word,meaning,regular_word
古之学者,这里专指先秦两汉。,'古之学者'必有师。
所以,用来......的。,师者，'所以'传道受业解惑也。
受,通“授”，传授。,师者，所以传道'受'业解惑也。
业,泛指古代经、史、诸子之学及古文写作等专业知识。,师者，所以传道受'业'解惑也。
知之者,指知识和道理。,人非生而'知之者'，
其,那，指示代词。,'其'为惑也，
乎,于。与下文的“先乎吾”的“乎”同。,生'乎'吾前，
闻,听见，引申为懂得、知道。,其'闻'道也固先乎吾，
师之,即以之为师。,吾从而'师之'；
师之,名词的意动用法。,吾从而'师之'；
师,这里作动词用，学习、从师的意思。,吾'师'道也，
庸,岂、哪，表示反问的语气。,夫'庸'知其年之先后生于吾乎？
无,无论、不分。,'无'贵无贱，无长无少，
师道,从师学习的风尚。,'师道'之不传也久矣！
师道,这里有“风尚”之意。,吾'师道'也，
出人,超出（一般）人。,其'出人'也远矣，
犹且,尚且。,'犹且'从师而问焉；
众人,一般人。,今之'众人'，
下,低于。,其'下'圣人也亦远矣，
于,向。,耻学'于'师。
益,更加。,是故圣'益'圣，愚益愚。
身,指自己。,于其'身'也则耻师焉，
耻师,以从师为耻。,于其身也则'耻师'焉，
惑矣,糊涂啊！,吾未见其明也，'惑矣'！
句读（dòu）,也叫句逗。,授之书而习其'句读'者，
不（fǒu）,同“否”。,或师焉，或'不'焉，
遗,丢弃。,小学而大'遗'，
百工,泛指各种手工业工人。,巫、医、乐师、'百工'之人，
相师,互相学习。,不耻'相师'。
族,类。,士大夫之'族'，
足,值得，够得上。,位卑则'足'羞，
盛,大，这里指地位高。,官'盛'则近谀。
君子,古代“君子”有两层意思，一是指地位高的人，一是指品德高尚的人。这里用前一种意思，相当于士大夫。,'君子'不齿，
不齿,即看不起。,君子'不齿'，
常师,固定的老师。,圣人无'常师'。
师襄,乐师。,孔子师郯子、苌弘、'师襄'、老聃。
不必,不一定。,是故弟子'不必'不如师，
攻,学习、研究。,术业有专'攻'，
六艺,指六经，即《诗》《书》《礼》《易》《乐》《春秋》六部儒家经典。《乐》已失传，此为古说。,'六艺'经传皆通习之，
传（zhuàn）,注解经书的著作。,六艺经'传'皆通习之，
时,时俗，指当时士大夫耻于从师的不良风气。,不拘于'时'，
嘉,赞许。,余'嘉'其能行古道，
贻（yí）,赠送。,作《师说》以'贻'之。
